                         
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     176    0.54006E-002   0.17319E-001  -0.16015E-005   0.27095E-002  -0.25057E-005   0.21743E-005
     177    0.51224E-002   0.18408E-001   0.14405E-005   0.31288E-002  -0.32649E-005   0.35523E-005
     178    0.48030E-002   0.19902E-001  -0.62037E-005   0.34580E-002  -0.45051E-005   0.54777E-005
     179    0.44072E-002   0.22019E-001  -0.30579E-004   0.35389E-002  -0.69028E-005   0.80433E-005
     180    0.37740E-002   0.25145E-001  -0.62917E-004   0.29718E-002  -0.23438E-004   0.20867E-004
     181    0.28132E-002   0.29571E-001  -0.23855E-003   0.72470E-003  -0.27796E-004   0.18378E-004
     182    0.44591E-002   0.32697E-001   0.19017E-004  -0.63937E-002  -0.31732E-003   0.19795E-003
     183    0.59860E-002   0.15831E-001  -0.41864E-005   0.27067E-003  -0.59280E-006   0.24392E-006
     184    0.59895E-002   0.15771E-001  -0.66670E-005   0.57978E-003  -0.73720E-006   0.33403E-006
     185    0.59472E-002   0.15809E-001  -0.49951E-005   0.92345E-003  -0.81774E-006   0.52787E-006
     186    0.58565E-002   0.15964E-001  -0.51932E-005   0.12917E-002  -0.10331E-005   0.63913E-006
     187    0.57093E-002   0.16269E-001  -0.35957E-005   0.16717E-002  -0.12168E-005   0.12041E-005
     188    0.55179E-002   0.16753E-001  -0.42634E-005   0.20600E-002  -0.11373E-005   0.12223E-005
     189    0.52368E-002   0.17457E-001  -0.11549E-004   0.24112E-002  -0.26365E-005   0.22389E-005
     190    0.48607E-002   0.18539E-001  -0.23407E-006   0.27551E-002  -0.34759E-005   0.37032E-005
     191    0.44520E-002   0.19945E-001   0.13934E-006   0.30446E-002  -0.47719E-005   0.65238E-005
     192    0.39765E-002   0.21853E-001  -0.35374E-004   0.30164E-002  -0.37748E-005   0.71764E-005
     193    0.33389E-002   0.24625E-001  -0.73576E-004   0.22547E-002  -0.18428E-004   0.18084E-004
     194    0.24395E-002   0.28376E-001  -0.22843E-003  -0.30860E-003  -0.20783E-004   0.14226E-004
     195    0.43682E-002   0.30362E-001   0.59035E-004  -0.72930E-002  -0.28498E-003   0.17474E-003
     196    0.58544E-002   0.16168E-001  -0.40200E-005   0.21965E-003  -0.48165E-006   0.29557E-006
     197    0.58650E-002   0.16102E-001  -0.69141E-005   0.47943E-003  -0.55801E-006   0.32480E-006
     198    0.58323E-002   0.16117E-001  -0.60045E-005   0.77680E-003  -0.71412E-006   0.47511E-006
     199    0.57490E-002   0.16240E-001  -0.52972E-005   0.11020E-002  -0.76756E-006   0.67592E-006
     200    0.56092E-002   0.16494E-001  -0.59905E-005   0.14425E-002  -0.11687E-005   0.77919E-006
     201    0.53985E-002   0.16927E-001  -0.27345E-005   0.17798E-002  -0.11599E-005   0.15110E-005
     202    0.51336E-002   0.17561E-001  -0.77523E-005   0.21038E-002  -0.12692E-005   0.13655E-005
     203    0.47112E-002   0.18481E-001  -0.17536E-004   0.23272E-002  -0.39939E-005   0.33419E-005
