    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     142  -0.74719E+002   0.14958E+002  -0.11020E+002  -0.30095E+001   0.44039E-001   0.13579E+001
     143  -0.70919E+002   0.15419E+002  -0.14529E+002  -0.30261E+001   0.48296E-010   0.24553E-009
     144  -0.74719E+002   0.14958E+002  -0.11020E+002  -0.30095E+001  -0.44039E-001  -0.13579E+001
     145  -0.78518E+002   0.14496E+002  -0.75113E+001  -0.29928E+001   0.29239E+000  -0.22723E+001
     146  -0.68388E+002   0.58521E+001  -0.61911E+001   0.25696E+001  -0.63842E+000   0.14408E+001
     147  -0.64177E+002   0.55900E+001  -0.11035E+002   0.26023E+001  -0.83769E+000   0.15435E+001
     148  -0.59965E+002   0.53279E+001  -0.15878E+002   0.26350E+001   0.21091E-010  -0.12694E-009
     149  -0.64177E+002   0.55900E+001  -0.11035E+002   0.26023E+001   0.83769E+000  -0.15435E+001
     150  -0.68388E+002   0.58521E+001  -0.61911E+001   0.25696E+001   0.63842E+000  -0.14408E+001
     151  -0.70482E+002   0.77140E+001  -0.62991E+001   0.20026E+001  -0.71358E+000   0.12698E+001
     152  -0.66273E+002   0.75037E+001  -0.10757E+002   0.20695E+001  -0.84552E+000   0.13411E+001
     153  -0.62064E+002   0.72934E+001  -0.15214E+002   0.21364E+001   0.42200E-010  -0.12352E-009
     154  -0.66273E+002   0.75037E+001  -0.10757E+002   0.20695E+001   0.84552E+000  -0.13411E+001
     155  -0.70482E+002   0.77140E+001  -0.62991E+001   0.20026E+001   0.71358E+000  -0.12698E+001
     156  -0.74648E+002   0.11688E+002  -0.65686E+001   0.22331E+001  -0.35060E+000   0.14971E+001
     157  -0.70547E+002   0.11875E+002  -0.10366E+002   0.22703E+001  -0.56225E+000   0.12041E+001
     158  -0.66446E+002   0.12062E+002  -0.14164E+002   0.23075E+001   0.29474E-010  -0.17978E-009
     159  -0.70547E+002   0.11875E+002  -0.10366E+002   0.22703E+001   0.56225E+000  -0.12041E+001
     160  -0.74648E+002   0.11688E+002  -0.65686E+001   0.22331E+001   0.35060E+000  -0.14971E+001
     161  -0.80316E+002   0.15193E+002  -0.82925E+001  -0.22367E-009  -0.33903E-010   0.26491E+001
     162  -0.76713E+002   0.15584E+002  -0.11787E+002  -0.23911E-009   0.38371E-011   0.14462E+001
     163  -0.73110E+002   0.15974E+002  -0.15281E+002  -0.20176E-010   0.46029E-010   0.74610E-010
     164  -0.76713E+002   0.15584E+002  -0.11787E+002   0.29047E-009   0.43025E-010  -0.14462E+001
     165  -0.80316E+002   0.15193E+002  -0.82925E+001   0.36674E-009   0.35570E-010  -0.26491E+001
     166  -0.74648E+002   0.11688E+002  -0.65686E+001  -0.22331E+001   0.35060E+000   0.14971E+001
     167  -0.70547E+002   0.11875E+002  -0.10366E+002  -0.22703E+001   0.56225E+000   0.12041E+001
     168  -0.66446E+002   0.12062E+002  -0.14164E+002  -0.23075E+001   0.12617E-011   0.37746E-010
     169  -0.70547E+002   0.11875E+002  -0.10366E+002  -0.22703E+001  -0.56225E+000  -0.12041E+001
