    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     160   0.34878E+002  -0.81100E+001   0.10353E+001  -0.94327E+001  -0.12947E+001   0.63492E+001
     161   0.28266E+002   0.80962E+000   0.25344E+001  -0.50575E-009  -0.89798E-010  -0.53389E+001
     162   0.29996E+002   0.31531E+000   0.58176E+001  -0.38241E-009  -0.37193E-010  -0.34682E+001
     163   0.31725E+002  -0.17901E+000   0.91008E+001  -0.37151E-010  -0.11822E-009  -0.42674E-009
     164   0.29996E+002   0.31531E+000   0.58176E+001  -0.17137E-009  -0.50623E-010   0.34682E+001
     165   0.28266E+002   0.80962E+000   0.25344E+001  -0.52751E-009   0.15061E-009   0.53389E+001
     166   0.34878E+002  -0.81100E+001   0.10353E+001   0.94327E+001  -0.12947E+001  -0.63492E+001
     167   0.35584E+002  -0.70214E+001   0.31107E+001   0.98371E+001  -0.14957E+001  -0.49134E+001
     168   0.36289E+002  -0.59328E+001   0.51861E+001   0.10241E+002  -0.16837E-009  -0.50121E-009
     169   0.35584E+002  -0.70214E+001   0.31107E+001   0.98371E+001   0.14957E+001   0.49134E+001
     170   0.34878E+002  -0.81100E+001   0.10353E+001   0.94327E+001   0.12947E+001   0.63492E+001
     171   0.35203E+002  -0.57193E+001   0.24414E+001   0.42559E+001  -0.30673E+001  -0.25740E+001
     172   0.35635E+002  -0.64310E+001   0.40985E+001   0.53365E+001  -0.21797E+001  -0.32681E+001
     173   0.36068E+002  -0.71426E+001   0.57556E+001   0.64170E+001  -0.20957E-009  -0.33748E-009
     174   0.35635E+002  -0.64310E+001   0.40985E+001   0.53365E+001   0.21797E+001   0.32681E+001
     175   0.35203E+002  -0.57193E+001   0.24414E+001   0.42559E+001   0.30673E+001   0.25740E+001
     176   0.35722E+002  -0.25521E+001   0.36787E+001   0.43247E+000  -0.32376E+001  -0.27958E+000
     177   0.35966E+002  -0.48230E+001   0.51388E+001   0.11641E+001  -0.17520E+001  -0.20627E+001
     178   0.36211E+002  -0.70938E+001   0.65989E+001   0.18957E+001  -0.12664E-009  -0.10496E-009
     179   0.35966E+002  -0.48230E+001   0.51388E+001   0.11641E+001   0.17520E+001   0.20627E+001
     180   0.35722E+002  -0.25521E+001   0.36787E+001   0.43247E+000   0.32376E+001   0.27958E+000
     181   0.10022E+002  -0.40199E+001   0.11925E+001  -0.35019E+001   0.83578E+000  -0.44806E+001
     182   0.10259E+002  -0.40496E+001   0.27628E+000  -0.34266E+001   0.14573E+001  -0.38626E+001
     183   0.10496E+002  -0.40793E+001  -0.63989E+000  -0.33513E+001   0.23437E-009  -0.20560E-009
     184   0.10259E+002  -0.40496E+001   0.27628E+000  -0.34266E+001  -0.14573E+001   0.38626E+001
     185   0.10022E+002  -0.40199E+001   0.11925E+001  -0.35019E+001  -0.83578E+000   0.44806E+001
     186   0.18075E+002   0.70732E+001   0.34388E+001  -0.23161E-009  -0.11027E-009  -0.51811E+001
     187   0.19809E+002   0.67278E+001   0.54357E+001  -0.33669E-009  -0.13803E-009  -0.40046E+001
     188   0.21544E+002   0.63824E+001   0.74325E+001  -0.45828E-009  -0.83376E-010  -0.47901E-009
     189   0.19809E+002   0.67278E+001   0.54357E+001  -0.41934E-009   0.13545E-010   0.40046E+001
     190   0.18075E+002   0.70732E+001   0.34388E+001  -0.36388E-009   0.28048E-010   0.51811E+001
     191   0.10022E+002  -0.40199E+001   0.11925E+001   0.35019E+001  -0.83578E+000  -0.44806E+001
     192   0.10259E+002  -0.40496E+001   0.27628E+000   0.34266E+001  -0.14573E+001  -0.38626E+001
     193   0.10496E+002  -0.40793E+001  -0.63989E+000   0.33513E+001   0.80478E-010  -0.45448E-009
     194   0.10259E+002  -0.40496E+001   0.27628E+000   0.34266E+001   0.14573E+001   0.38626E+001
     195   0.10022E+002  -0.40199E+001   0.11925E+001   0.35019E+001   0.83578E+000   0.44806E+001
     196   0.39289E+001  -0.32823E+001   0.22732E+001   0.26844E+000   0.67433E+000  -0.41944E+001
     197   0.40667E+001  -0.43456E+001  -0.37611E+000   0.48173E+000   0.13298E+001  -0.37205E+001
     198   0.42044E+001  -0.54089E+001  -0.30254E+001   0.69501E+000   0.29447E-009  -0.23655E-009
     199   0.40667E+001  -0.43456E+001  -0.37611E+000   0.48173E+000  -0.13298E+001   0.37205E+001
     200   0.39289E+001  -0.32823E+001   0.22732E+001   0.26844E+000  -0.67433E+000   0.41944E+001
     201   0.17565E+002  -0.17791E+001   0.54254E+000  -0.56443E+001   0.52610E+000  -0.48971E+001
     202   0.17726E+002  -0.11453E+001   0.18111E+001  -0.56937E+001   0.11241E+001  -0.39734E+001
     203   0.17887E+002  -0.51140E+000   0.30797E+001  -0.57431E+001   0.16033E-009  -0.13255E-009
     204   0.17726E+002  -0.11453E+001   0.18111E+001  -0.56937E+001  -0.11241E+001   0.39734E+001
     205   0.17565E+002  -0.17791E+001   0.54254E+000  -0.56443E+001  -0.52610E+000   0.48971E+001
     206   0.18544E+002   0.41363E+001   0.22061E+001  -0.15068E+001   0.65463E-001  -0.51042E+001
     207   0.19405E+002   0.40955E+001   0.40646E+001  -0.13463E+001   0.55149E+000  -0.39734E+001
     208   0.20265E+002   0.40547E+001   0.59231E+001  -0.11858E+001   0.74216E-010  -0.29356E-009
     209   0.19405E+002   0.40955E+001   0.40646E+001  -0.13463E+001  -0.55149E+000   0.39734E+001
     210   0.18544E+002   0.41363E+001   0.22061E+001  -0.15068E+001  -0.65463E-001   0.51042E+001
     211   0.18544E+002   0.41363E+001   0.22061E+001   0.15068E+001  -0.65463E-001  -0.51042E+001
     212   0.19405E+002   0.40955E+001   0.40646E+001   0.13463E+001  -0.55149E+000  -0.39734E+001
     213   0.20265E+002   0.40547E+001   0.59231E+001   0.11858E+001  -0.23276E-009  -0.51372E-009
     214   0.19405E+002   0.40955E+001   0.40646E+001   0.13463E+001   0.55149E+000   0.39734E+001
     215   0.18544E+002   0.41363E+001   0.22061E+001   0.15068E+001   0.65463E-001   0.51042E+001
     216   0.17565E+002  -0.17791E+001   0.54254E+000   0.56443E+001  -0.52610E+000  -0.48971E+001
     217   0.17726E+002  -0.11453E+001   0.18111E+001   0.56937E+001  -0.11241E+001  -0.39734E+001
     218   0.17887E+002  -0.51140E+000   0.30797E+001   0.57431E+001  -0.10659E-009  -0.60472E-009
     219   0.17726E+002  -0.11453E+001   0.18111E+001   0.56937E+001   0.11241E+001   0.39734E+001
     220   0.17565E+002  -0.17791E+001   0.54254E+000   0.56443E+001   0.52610E+000   0.48971E+001
     221   0.39289E+001  -0.32823E+001   0.22732E+001  -0.26844E+000  -0.67433E+000  -0.41944E+001
     222   0.40667E+001  -0.43456E+001  -0.37611E+000  -0.48173E+000  -0.13298E+001  -0.37205E+001
     223   0.42044E+001  -0.54089E+001  -0.30254E+001  -0.69501E+000   0.77399E-010  -0.26562E-009
     224   0.40667E+001  -0.43456E+001  -0.37611E+000  -0.48173E+000   0.13298E+001   0.37205E+001
     225   0.39289E+001  -0.32823E+001   0.22732E+001  -0.26844E+000   0.67433E+000   0.41944E+001
     226   0.10824E+002   0.42645E+001   0.48215E+001  -0.40965E+001  -0.40488E+000  -0.61364E+001
     227   0.11794E+002   0.52139E+001   0.43135E+001  -0.37637E+001   0.31593E+000  -0.56013E+001
     228   0.12763E+002   0.61633E+001   0.38055E+001  -0.34309E+001  -0.14822E-009  -0.21291E-009
     229   0.11794E+002   0.52139E+001   0.43135E+001  -0.37637E+001  -0.31593E+000   0.56013E+001
     230   0.10824E+002   0.42645E+001   0.48215E+001  -0.40965E+001   0.40488E+000   0.61364E+001
     231   0.73451E+001   0.73620E+001   0.38061E+001  -0.31400E+001   0.54058E-001  -0.50362E+001
     232   0.89507E+001   0.95355E+001   0.45217E+001  -0.27421E+001   0.18470E+000  -0.50879E+001
     233   0.10556E+002   0.11709E+002   0.52373E+001  -0.23443E+001  -0.52454E-010  -0.28316E-009
     234   0.89507E+001   0.95355E+001   0.45217E+001  -0.27421E+001  -0.18470E+000   0.50879E+001
     235   0.73451E+001   0.73620E+001   0.38061E+001  -0.31400E+001  -0.54058E-001   0.50362E+001
     236   0.17639E+001   0.14820E+002   0.26299E+001  -0.79955E+000   0.77996E+000  -0.30707E+001
     237   0.39332E+001   0.17059E+002   0.54676E+001  -0.91540E+000   0.29303E+000  -0.43878E+001
     238   0.61026E+001   0.19298E+002   0.83052E+001  -0.10312E+001   0.29095E-010  -0.22882E-009
     239   0.39332E+001   0.17059E+002   0.54676E+001  -0.91540E+000  -0.29303E+000   0.43878E+001
     240   0.17639E+001   0.14820E+002   0.26299E+001  -0.79955E+000  -0.77996E+000   0.30707E+001
     241   0.21641E+001   0.19846E+002   0.37735E+001  -0.18458E-001   0.71413E+000  -0.26605E+001
     242   0.42699E+001   0.20555E+002   0.76124E+001  -0.82516E+000   0.46540E+000  -0.46844E+001
     243   0.63756E+001   0.21265E+002   0.11451E+002  -0.16319E+001   0.78663E-010  -0.22899E-009
     244   0.42699E+001   0.20555E+002   0.76124E+001  -0.82516E+000  -0.46540E+000   0.46844E+001
     245   0.21641E+001   0.19846E+002   0.37735E+001  -0.18458E-001  -0.71413E+000   0.26605E+001
     246   0.46662E+001   0.20512E+002   0.50777E+001  -0.63233E-010   0.53861E-010  -0.31157E+001
     247   0.67809E+001   0.20851E+002   0.90196E+001  -0.30745E-009  -0.10377E-009  -0.51677E+001
     248   0.88956E+001   0.21190E+002   0.12961E+002  -0.65007E-009   0.33195E-010  -0.49897E-009
     249   0.67809E+001   0.20851E+002   0.90196E+001  -0.30002E-009  -0.18488E-011   0.51677E+001
     250   0.46662E+001   0.20512E+002   0.50777E+001   0.14844E-009  -0.33148E-009   0.31157E+001
     251   0.21641E+001   0.19846E+002   0.37735E+001   0.18458E-001  -0.71413E+000  -0.26605E+001
     252   0.42699E+001   0.20555E+002   0.76124E+001   0.82516E+000  -0.46540E+000  -0.46844E+001
     253   0.63756E+001   0.21265E+002   0.11451E+002   0.16319E+001  -0.41748E-010  -0.63697E-009
