

    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     104  -0.10000E+003  -0.34030E-001  -0.55474E-003  -0.25467E-001   0.63984E-003   0.28780E-003
     105  -0.10000E+003  -0.34255E-001  -0.37055E-003  -0.26673E-001   0.74621E-003   0.34045E-003
     106  -0.99979E+002  -0.64894E-001  -0.33041E-002  -0.12983E-011   0.34711E-013  -0.11459E-003
     107  -0.99979E+002  -0.64122E-001  -0.33905E-002  -0.11253E-011  -0.13173E-013  -0.80282E-004
     108  -0.99979E+002  -0.63350E-001  -0.34769E-002  -0.54614E-012  -0.11641E-012  -0.21448E-012
     109  -0.99979E+002  -0.64122E-001  -0.33905E-002   0.60940E-013  -0.15825E-012   0.80282E-004
     110  -0.99979E+002  -0.64894E-001  -0.33041E-002   0.26177E-012  -0.14475E-012   0.11459E-003
     111  -0.10000E+003  -0.34255E-001  -0.37055E-003   0.26673E-001   0.74621E-003  -0.34045E-003
     112  -0.10000E+003  -0.34030E-001  -0.55474E-003   0.25467E-001   0.63984E-003  -0.28780E-003
     113  -0.10000E+003  -0.33806E-001  -0.73892E-003   0.24261E-001  -0.24274E-013   0.15422E-012
     114  -0.10000E+003  -0.34030E-001  -0.55474E-003   0.25467E-001  -0.63984E-003   0.28780E-003
     115  -0.10000E+003  -0.34255E-001  -0.37055E-003   0.26673E-001  -0.74621E-003   0.34045E-003
     116  -0.10001E+003  -0.12390E-001   0.27725E-002   0.18567E-001   0.89099E-003  -0.30914E-003
     117  -0.10001E+003  -0.12339E-001   0.31436E-002   0.17548E-001   0.73779E-003  -0.24113E-003
     118  -0.10001E+003  -0.12287E-001   0.35147E-002   0.16528E-001   0.12087E-012  -0.91196E-013
     119  -0.10001E+003  -0.12339E-001   0.31436E-002   0.17548E-001  -0.73779E-003   0.24113E-003
     120  -0.10001E+003  -0.12390E-001   0.27725E-002   0.18567E-001  -0.89099E-003   0.30914E-003
     121  -0.10002E+003  -0.35155E-002   0.42411E-002   0.10580E-001   0.67656E-003  -0.16124E-003
     122  -0.10001E+003  -0.34703E-002   0.51432E-002   0.98759E-002   0.57408E-003  -0.10150E-003
     123  -0.10001E+003  -0.34250E-002   0.60452E-002   0.91720E-002   0.23296E-012  -0.30279E-012
     124  -0.10001E+003  -0.34703E-002   0.51432E-002   0.98759E-002  -0.57408E-003   0.10150E-003
     125  -0.10002E+003  -0.35155E-002   0.42411E-002   0.10580E-001  -0.67656E-003   0.16124E-003
     126  -0.99987E+002  -0.56069E-001  -0.26746E-002  -0.19656E-001  -0.30630E-003  -0.16923E-003
     127  -0.99987E+002  -0.55488E-001  -0.28220E-002  -0.18911E-001  -0.27549E-003  -0.13756E-003
     128  -0.99987E+002  -0.54907E-001  -0.29695E-002  -0.18166E-001  -0.40958E-013  -0.47781E-012
     129  -0.99987E+002  -0.55488E-001  -0.28220E-002  -0.18911E-001   0.27549E-003   0.13756E-003
     130  -0.99987E+002  -0.56069E-001  -0.26746E-002  -0.19656E-001   0.30630E-003   0.16923E-003
     131  -0.99987E+002  -0.56069E-001  -0.26746E-002   0.19656E-001   0.30630E-003  -0.16923E-003
     132  -0.99987E+002  -0.55488E-001  -0.28220E-002   0.18911E-001   0.27549E-003  -0.13756E-003
     133  -0.99987E+002  -0.54907E-001  -0.29695E-002   0.18166E-001  -0.11961E-012   0.10879E-012
     134  -0.99987E+002  -0.55488E-001  -0.28220E-002   0.18911E-001  -0.27549E-003   0.13756E-003
